Unnamed: 0,Date,Close,High,Low,Open,Volume
1064,2024-03-26,543.5,557.5,542.75,555.0,39839
1063,2024-03-25,555.0,567.0,549.5,559.0,63147
1062,2024-03-22,554.75,559.25,539.5,548.5,58439
1061,2024-03-21,546.75,552.5,540.25,546.0,43716
1060,2024-03-20,545.0,553.0,537.0,551.75,52836
1059,2024-03-19,552.5,553.75,539.0,542.75,52072
1058,2024-03-18,542.75,544.0,527.0,531.25,57975
1057,2024-03-15,528.5,537.5,526.75,532.0,40453
1056,2024-03-14,519.5,519.5,519.5,519.5,60596
1055,2024-03-13,532.25,535.25,532.25,534.5,18
1054,2024-03-12,535.5,544.75,535.5,541.0,40
1053,2024-03-11,537.5,537.5,526.0,526.75,25
1052,2024-03-08,526.75,528.5,526.75,528.5,15
1051,2024-03-07,520.75,526.5,520.75,526.5,251
1050,2024-03-06,521.25,521.25,519.75,519.75,206
1049,2024-03-05,545.75,554.75,545.75,554.75,31
1048,2024-03-04,563.5,564.0,563.5,564.0,113
1047,2024-03-01,560.0,577.75,558.25,577.75,549
1046,2024-02-29,577.5,582.0,567.0,570.0,1253
1045,2024-02-28,571.0,588.0,569.75,586.5,13393
1044,2024-02-27,586.0,591.75,575.5,576.0,15959
1043,2024-02-26,577.25,578.75,562.0,573.5,23795
1042,2024-02-23,573.5,592.5,572.5,584.75,30814
1041,2024-02-22,583.25,600.0,579.75,582.0,40227
1040,2024-02-21,583.25,584.75,574.0,581.75,35041
1039,2024-02-20,582.75,585.0,555.25,558.5,53102
1038,2024-02-16,560.5,571.75,556.75,566.0,53034
1037,2024-02-15,567.0,585.75,565.25,585.75,79696
1036,2024-02-14,585.5,597.75,577.5,597.25,84588
1035,2024-02-13,597.5,603.5,592.25,597.0,82483
1034,2024-02-12,597.5,603.0,588.5,596.25,69031
1033,2024-02-09,596.75,605.5,588.0,591.25,100815
1032,2024-02-08,588.5,602.0,583.75,601.25,78673
1031,2024-02-07,602.0,606.75,590.75,594.75,79577
1030,2024-02-06,595.0,597.5,588.0,590.5,47583
1029,2024-02-05,590.25,601.75,586.75,600.0,51236
1028,2024-02-02,599.75,611.5,595.75,601.5,66721
1027,2024-02-01,601.5,603.0,587.0,595.25,62577
1026,2024-01-31,595.25,605.0,591.75,605.0,43147
1025,2024-01-30,605.5,606.75,584.5,593.5,51993
1024,2024-01-29,593.5,601.75,587.5,601.25,41478
1023,2024-01-26,600.25,614.0,592.25,612.0,69590
1022,2024-01-25,612.25,617.25,606.5,611.5,54705
1021,2024-01-24,610.75,612.25,596.5,598.0,56703
1020,2024-01-23,596.5,606.75,593.75,596.0,42176
1019,2024-01-22,596.5,600.25,587.0,593.5,36371
1018,2024-01-19,593.25,598.0,584.75,586.25,48393
1017,2024-01-18,585.5,587.0,573.25,583.5,50947
1016,2024-01-17,582.5,595.75,577.75,581.5,69550
1015,2024-01-16,582.0,602.25,576.75,596.0,61371
1014,2024-01-12,596.0,611.75,587.25,604.0,82712
1013,2024-01-11,603.75,614.75,602.0,610.0,38907
1012,2024-01-10,610.75,612.0,603.75,610.25,40391
1011,2024-01-09,610.0,613.75,594.0,596.0,57128
1010,2024-01-08,596.25,617.25,593.0,617.0,70376
1009,2024-01-05,616.0,621.5,611.5,613.0,43101
1008,2024-01-04,613.5,614.5,591.25,601.5,63693
1007,2024-01-03,600.25,609.75,598.25,608.0,63996
1006,2024-01-02,606.75,628.75,604.75,628.75,61472
1005,2023-12-29,628.0,633.5,621.5,631.0,34752
1004,2023-12-28,631.5,636.25,621.75,624.25,32254
1003,2023-12-27,623.0,637.5,619.25,636.0,38063
1002,2023-12-26,636.25,639.75,611.5,615.0,40674
1001,2023-12-22,616.25,618.25,610.75,612.5,26134
1000,2023-12-21,612.5,617.25,610.25,611.5,33648
999,2023-12-20,610.0,625.25,609.0,622.5,39373
998,2023-12-19,622.75,624.25,611.25,618.25,42919
997,2023-12-18,617.0,632.0,614.75,629.75,43591
996,2023-12-15,629.25,630.0,610.75,616.0,52711
995,2023-12-14,594.0,594.0,594.0,594.0,46870
994,2023-12-13,585.25,585.25,585.25,585.25,214
993,2023-12-12,607.0,607.0,607.0,607.0,145
992,2023-12-11,591.25,591.25,591.25,591.25,198
991,2023-12-08,615.0,619.0,615.0,618.75,17
990,2023-12-07,626.0,626.0,622.75,622.75,93
989,2023-12-06,615.75,634.0,615.75,625.75,50
988,2023-12-05,620.75,620.75,597.75,601.0,582
987,2023-12-04,595.75,595.75,583.0,583.0,371
986,2023-12-01,577.0,577.5,569.25,569.25,665
985,2023-11-30,570.25,570.25,555.5,557.5,1556
984,2023-11-29,556.0,559.0,542.75,544.5,19771
983,2023-11-28,543.75,545.5,528.0,534.0,31630
982,2023-11-27,534.25,552.75,527.5,550.0,41484
981,2023-11-24,548.75,555.75,546.5,555.0,26202
980,2023-11-22,555.75,563.5,554.5,556.0,29106
979,2023-11-21,555.0,557.0,541.75,544.0,43240
978,2023-11-20,543.5,554.0,541.0,550.75,42772
977,2023-11-17,550.75,557.75,547.0,555.75,51395
976,2023-11-16,553.5,562.5,547.0,562.25,57404
975,2023-11-15,560.5,579.25,557.0,572.75,83309
974,2023-11-14,572.0,585.0,570.25,581.0,65166
973,2023-11-13,579.0,582.0,567.25,575.0,80609
972,2023-11-10,575.25,583.0,570.75,581.75,68735
971,2023-11-09,580.75,592.5,573.0,590.0,85078
970,2023-11-08,592.25,598.75,570.25,571.5,144369
969,2023-11-07,570.25,582.25,564.5,574.0,106304
968,2023-11-06,575.75,577.75,566.5,573.0,68699
967,2023-11-03,572.5,574.5,563.75,565.75,41970
966,2023-11-02,565.5,569.5,557.25,562.25,53492
965,2023-11-01,561.75,564.75,554.75,557.5,58783
964,2023-10-31,556.25,568.5,554.5,568.25,72016
963,2023-10-30,566.0,577.0,565.25,576.0,60510
962,2023-10-27,575.5,582.5,571.0,580.25,48608
961,2023-10-26,579.5,580.5,563.25,569.25,72437
960,2023-10-25,568.5,586.25,567.0,580.0,57951
959,2023-10-24,580.5,588.0,572.75,587.75,47630
958,2023-10-23,587.25,595.25,582.0,586.5,48387
957,2023-10-20,586.0,604.5,583.25,594.0,81524
956,2023-10-19,594.0,594.5,576.5,579.75,65379
955,2023-10-18,580.25,584.0,571.25,572.5,52739
954,2023-10-17,570.5,582.25,568.5,577.0,53405
953,2023-10-16,577.25,588.5,575.25,580.0,56769
952,2023-10-13,579.75,586.25,569.5,572.0,87479
951,2023-10-12,571.5,574.5,547.25,557.25,83008
950,2023-10-11,556.0,560.75,551.0,559.0,43895
949,2023-10-10,558.5,574.75,555.5,573.75,48419
948,2023-10-09,572.75,581.5,570.0,573.25,46092
947,2023-10-06,568.25,580.25,566.5,576.0,50140
946,2023-10-05,578.25,580.25,559.0,559.75,69807
945,2023-10-04,560.0,569.75,551.75,567.5,66479
944,2023-10-03,568.5,575.0,562.75,568.25,75409
943,2023-10-02,564.75,567.0,541.25,545.0,96364
942,2023-09-29,541.5,585.5,540.0,579.5,123780
941,2023-09-28,578.75,583.5,575.25,580.5,43969
940,2023-09-27,579.5,594.5,578.5,589.25,55807
939,2023-09-26,589.0,596.75,583.25,589.0,48882
938,2023-09-25,589.0,590.0,573.75,577.0,44697
937,2023-09-22,579.5,582.5,572.75,576.5,45559
936,2023-09-21,575.75,590.25,575.0,589.0,50330
935,2023-09-20,588.75,596.25,581.5,585.25,63637
934,2023-09-19,584.0,592.75,581.0,588.0,58587
933,2023-09-18,591.25,604.25,587.0,604.0,64919
932,2023-09-15,604.25,607.5,591.75,594.25,65394
931,2023-09-14,567.5,567.5,567.5,567.5,55236
930,2023-09-13,569.0,569.0,562.5,562.5,42
929,2023-09-12,560.25,560.25,548.0,557.25,167
928,2023-09-11,556.0,561.5,556.0,561.5,189
927,2023-09-08,567.25,567.25,567.25,567.25,50
926,2023-09-07,571.5,585.0,571.5,578.25,152
925,2023-09-06,581.0,587.0,576.5,577.5,309
924,2023-09-05,572.5,575.0,567.0,569.25,104
923,2023-09-01,567.5,585.0,567.5,574.0,725
922,2023-08-31,573.0,582.75,566.0,574.0,1699
921,2023-08-30,576.75,579.5,564.5,572.75,12815
920,2023-08-29,569.75,589.0,568.75,588.0,27766
919,2023-08-28,588.0,599.25,584.0,593.5,21644
918,2023-08-25,593.25,609.75,587.5,604.5,28997
917,2023-08-24,604.0,615.0,598.25,614.75,21786
916,2023-08-23,612.5,617.0,598.25,604.25,22591
915,2023-08-22,601.75,610.75,594.5,599.0,26011
914,2023-08-21,599.25,620.75,595.75,618.0,24478
913,2023-08-18,613.25,615.75,588.5,589.0,32904
912,2023-08-17,589.5,601.25,586.25,599.75,31435
911,2023-08-16,597.75,607.5,591.5,598.75,41338
910,2023-08-15,598.5,619.0,595.75,618.5,52402
909,2023-08-14,616.0,635.0,605.25,632.75,56037
908,2023-08-11,626.75,639.75,624.25,638.0,72254
907,2023-08-10,637.75,644.0,635.0,637.25,67426
906,2023-08-09,635.0,658.25,633.5,655.5,70504
905,2023-08-08,656.25,662.25,643.0,657.5,81628
904,2023-08-07,657.5,663.75,636.0,646.0,104532
903,2023-08-04,633.0,653.75,627.25,627.75,70991
902,2023-08-03,627.0,648.25,626.25,639.25,65703
901,2023-08-02,640.0,684.0,636.0,654.5,90376
900,2023-08-01,652.25,675.0,643.25,670.0,69422
899,2023-07-31,665.75,703.0,660.25,702.5,104577
898,2023-07-28,704.25,720.25,689.0,714.75,74606
897,2023-07-27,712.75,740.0,711.75,723.25,75102
896,2023-07-26,720.0,757.5,709.0,757.0,105761
895,2023-07-25,760.25,777.25,736.5,754.25,107919
894,2023-07-24,757.5,757.5,698.75,702.0,96764
893,2023-07-21,697.5,733.25,693.5,724.75,95069
892,2023-07-20,727.0,750.75,711.25,725.0,136382
891,2023-07-19,727.75,730.75,664.0,669.0,148746
890,2023-07-18,670.75,675.0,642.25,649.25,54946
889,2023-07-17,653.75,689.25,651.0,666.0,73578
888,2023-07-14,641.5,641.5,641.5,641.5,55640
887,2023-07-13,627.5,627.5,614.25,614.25,24
886,2023-07-12,621.25,645.0,621.25,645.0,12
885,2023-07-11,649.5,650.0,642.75,645.0,119
884,2023-07-10,636.25,645.75,636.25,641.75,23
